range,azimuth,elevation,timestamp
16.316797,25.310747,7.101304,45820.54297
16.106585,25.238171,7.125704,45822.02334
16.076609,25.195217,7.042534,45822.21875
16.056887,25.292265,6.988354,45822.36328
16.030518,25.220178,6.854122,45822.55469
16.130518,25.280178,6.894122,45822.55469
16.010518,25.340178,6.964122,45822.55469
16.001503,25.193531,6.841996,45822.75391
15.986666,25.200834,6.975808,45822.86328
15.961466,24.230322,7.01817,45822.97656

